;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL ;Status;PR;CL;Status;PR;CL;Status;PR;CL;Status;PR;CL;Status;PR;CL;Status;PR;CL;Status;PR;CL;Status;PR;CL;Status;PR;CL;Status;PR;CL;Status;PR;CL;Status;PR;CL;Status;PR;CL;Status;PR;CL;Status;PR;CL;Status
Armenia;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5;PF;4;3;PF;3;4;PF;3;4;PF;4;4;PF;5;4;PF;5;4;PF;4;4;PF;4;4;PF;4;4;PF;4;4;PF;4;4;PF;4;4;PF;5;4;PF;5;4;PF;5;4;PF;5;4;PF;6;4;PF;6;4;PF;6;4;PF;6;4;PF;5;4;PF;5;4;PF;5;4;PF;5;4;PF;5;4;PF;5;4;PF;4;4;PF;4;4;PF;4;4;PF;4;4;PF;4;4;PF;4;4;PF
Australia;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F
Austria;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F
Azerbaijan;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5;PF;5;5;PF;6;6;NF;6;6;NF;6;6;NF;6;5;NF;6;4;PF;6;4;PF;6;4;PF;6;5;PF;6;5;PF;6;5;PF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;6;NF;6;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;7;NF;7;7;NF;7;7;NF
Bahamas;-;-;-;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;3;F;2;3;F;2;3;F;2;3;F;2;3;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F
Bahrain;6;5;NF;6;5;NF;4;4;PF;6;4;PF;6;4;PF;6;4;PF;6;4;PF;5;4;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;6;5;PF;6;5;PF;6;5;PF;6;5;PF;6;6;NF;6;6;NF;6;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;6;5;NF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;6;5;NF;6;5;NF;6;6;NF;6;6;NF;6;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF
Bangladesh;2;4;PF;4;4;PF;4;4;PF;7;5;NF;7;4;PF;6;4;PF;4;4;PF;3;3;PF;3;4;PF;5;5;PF;6;5;PF;6;5;PF;5;5;PF;4;5;PF;4;5;PF;4;5;PF;4;4;PF;5;5;PF;2;3;F;2;3;F;2;4;PF;2;4;PF;3;4;PF;2;4;PF;2;4;PF;2;4;PF;3;4;PF;3;4;PF;3;4;PF;4;4;PF;4;4;PF;4;4;PF;4;4;PF;4;4;PF;5;4;PF;4;4;PF;3;4;PF;3;4;PF;3;4;PF;3;4;PF;3;4;PF;4;4;PF;4;4;PF;4;4;PF;4;4;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF
Barbados;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;2;F;1;2;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F
Belarus;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4;PF;4;3;PF;5;4;PF;4;4;PF;5;5;PF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;6;6;NF;7;6;NF;7;6;NF;7;6;NF;7;7;NF;7;7;NF;7;7;NF
Belgium;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F
Belize;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;F;1;2;F;2;1;F;1;1;F;1;1;F;1;1;F;1;2;F;1;2;F;1;2;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;2;2;F;2;1;F;2;1;F;2;1;F;2;1;F
Benin;7;5;NF;7;5;NF;7;6;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;6;4;PF;2;3;F;2;3;F;2;3;F;2;3;F;2;2;F;2;2;F;2;2;F;2;2;F;2;3;F;2;2;F;3;2;F;3;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;4;2;PF;4;2;PF;5;3;PF;5;3;PF;4;3;PF
Bhutan;4;4;PF;4;4;PF;4;4;PF;4;4;PF;4;4;PF;4;4;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;6;5;PF;6;5;PF;6;5;PF;7;6;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;4;5;PF;4;5;PF;4;5;PF;4;5;PF;4;5;PF;3;4;PF;3;4;PF;3;4;PF;3;4;PF;3;4;PF;3;4;PF;3;4;PF;2;4;PF;3;4;PF;3;4;PF;2;4;PF
Bolivia;5;4;PF;5;4;PF;6;5;NF;6;5;NF;6;4;PF;6;4;PF;5;3;PF;3;3;PF;7;5;NF;7;4;PF;2;3;F;2;3;F;2;3;F;2;3;F;2;3;F;2;3;F;2;3;F;2;3;F;2;3;F;2;3;F;2;3;F;2;3;F;2;4;PF;2;3;F;1;3;F;1;3;F;1;3;F;1;3;F;1;3;F;2;3;F;3;3;PF;3;3;PF;3;3;PF;3;3;PF;3;3;PF;3;3;PF;3;3;PF;3;3;PF;3;3;PF;3;3;PF;3;3;PF;3;3;PF;3;3;PF;3;3;PF;3;3;PF;3;3;PF;3;3;PF;3;3;PF;3;3;PF;3;3;PF;3;3;PF
Bosnia and Herzegovina;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;6;NF;6;6;NF;6;6;NF;6;6;NF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;4;PF;5;4;PF;4;4;PF;4;4;PF;4;3;PF;4;3;PF;3;3;PF;4;3;PF;4;3;PF;4;3;PF;4;3;PF;4;3;PF;3;3;PF;3;3;PF;4;3;PF;4;3;PF;4;4;PF;4;4;PF;4;4;PF;4;4;PF;4;4;PF;4;4;PF;4;4;PF;5;4;PF
Botswana;3;4;PF;2;3;F;2;3;F;2;3;F;2;3;F;2;3;F;2;3;F;2;2;F;2;3;F;2;3;F;2;3;F;2;3;F;2;3;F;2;3;F;2;3;F;2;3;F;1;2;F;1;2;F;1;2;F;1;2;F;2;3;F;2;3;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;3;2;F;3;2;F;3;2;F;3;2;F;3;2;F;3;2;F;3;2;F;3;2;F;3;2;F;3;2;F;3;2;F;3;2;F;3;2;F;3;2;F;3;2;F
Brazil;5;5;PF;5;5;PF;4;4;PF;4;5;PF;4;5;PF;4;5;PF;4;4;PF;4;3;PF;4;3;PF;4;3;PF;3;3;PF;3;3;PF;3;2;F;2;2;F;2;2;F;2;3;F;2;2;F;2;3;F;2;3;F;2;3;F;3;4;PF;2;4;PF;2;4;PF;2;4;PF;3;4;PF;3;4;PF;3;4;PF;3;3;PF;3;3;PF;2;3;F;2;3;F;2;3;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;3;F;2;3;F;2;3;F;2;3;F
Brunei;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;6;NF;6;5;PF;6;5;PF;6;5;PF;6;6;NF;6;6;NF;6;5;NF;6;5;NF;7;6;NF;7;6;NF;7;6;NF;7;5;NF;7;5;NF;7;5;NF;7;5;NF;7;5;NF;7;5;NF;7;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF
Bulgaria;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;3;4;PF;2;3;F;2;3;F;2;2;F;2;2;F;2;2;F;2;3;F;2;3;F;2;3;F;2;3;F;2;3;F;1;3;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F
Burkina Faso;3;4;PF;3;4;PF;6;4;PF;6;4;PF;5;5;PF;5;4;PF;2;3;F;2;3;F;6;5;PF;6;5;PF;6;5;PF;7;5;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;6;5;NF;6;5;NF;6;5;NF;5;5;PF;5;4;PF;5;4;PF;5;4;PF;5;4;PF;5;4;PF;5;4;PF;4;4;PF;4;4;PF;4;4;PF;4;4;PF;4;4;PF;5;4;PF;5;3;PF;5;3;PF;5;3;PF;5;3;PF;5;3;PF;5;3;PF;5;3;PF;5;3;PF;5;3;PF;6;3;PF;4;3;PF;4;3;PF;4;3;PF;4;3;PF;4;4;PF;4;4;PF;4;4;PF;7;4;NF;7;5;NF
Burundi;7;7;NF;7;7;NF;7;7;NF;7;6;NF;7;6;NF;7;6;NF;7;7;NF;7;7;NF;7;6;NF;7;6;NF;6;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;6;5;PF;7;7;NF;6;7;NF;6;7;NF;7;7;NF;7;7;NF;7;6;NF;6;6;NF;6;6;NF;6;6;NF;6;5;NF;5;5;PF;5;5;PF;3;5;PF;4;5;PF;4;5;PF;4;5;PF;4;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;6;5;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF
Cabo Verde;-;-;-;-;-;-;-;-;-;5;5;PF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;7;NF;6;7;NF;6;6;NF;5;6;PF;5;6;NF;6;5;NF;5;5;PF;2;3;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;2;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F
Cambodia;6;5;NF;6;5;NF;6;6;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;6;6;NF;6;6;NF;4;5;PF;4;5;PF;6;6;NF;6;6;NF;7;6;NF;6;6;NF;6;6;NF;6;6;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;7;5;NF;7;5;NF;7;5;NF;7;5;NF;7;5;NF
Cameroon;6;4;PF;6;4;PF;6;4;PF;6;4;PF;7;5;NF;6;5;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;7;NF;6;7;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;5;NF;6;5;NF;6;5;NF;7;5;NF;7;5;NF;7;5;NF;7;5;NF;7;6;NF;7;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF
Canada;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F
Central African Republic;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;6;NF;7;5;NF;7;5;NF;7;5;NF;7;6;NF;7;6;NF;7;6;NF;6;6;NF;6;6;NF;6;6;NF;6;5;NF;6;5;PF;6;5;PF;3;4;PF;3;4;PF;3;4;PF;3;5;PF;3;5;PF;3;4;PF;3;4;PF;3;4;PF;5;5;PF;5;5;PF;7;5;NF;6;5;NF;5;4;PF;5;4;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;5;5;PF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF
Chad;6;7;NF;6;7;NF;6;7;NF;7;6;NF;7;6;NF;7;6;NF;6;6;NF;6;6;NF;7;6;NF;7;6;NF;7;6;NF;7;7;NF;7;7;NF;7;7;NF;6;7;NF;6;7;NF;7;6;NF;7;6;NF;6;6;NF;6;6;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;4;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;5;NF;6;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF
Chile;1;2;F;7;5;NF;7;5;NF;7;5;NF;7;5;NF;7;5;NF;6;5;NF;6;5;PF;6;5;PF;6;5;PF;6;5;PF;6;5;PF;6;5;PF;6;5;PF;6;5;PF;5;4;PF;4;3;PF;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;2;2;F;3;2;F;2;2;F;2;2;F;2;2;F;2;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;1;F;1;2;F;1;1;F;1;1;F;1;1;F;1;1;F
China;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;6;6;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;7;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF;7;6;NF
